[ 2016-12-17T07:06:50+08:00 ] www.blockbitcoin.com:80 | INFO: Tag[ app_begin ] --START--
[ 2016-12-17T19:39:58+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001677s ]
[ 2016-12-17T19:39:58+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001851s ]
[ 2016-12-17T23:01:24+08:00 ] http://14.215.177.37/ | INFO: Tag[ app_begin ] --START--
[ 2016-12-17T23:01:24+08:00 ] http://14.215.177.37/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002246s ]
[ 2016-12-17T23:01:24+08:00 ] http://14.215.177.37/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002411s ]
[ 2016-12-17T23:06:36+08:00 ] http://14.215.177.37/ | INFO: Tag[ app_begin ] --START--
[ 2016-12-17T23:06:36+08:00 ] http://14.215.177.37/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002199s ]
[ 2016-12-17T23:06:36+08:00 ] http://14.215.177.37/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002359s ]
[ 2016-12-17T23:28:51+08:00 ] http://baidu.com/ | INFO: Tag[ app_begin ] --START--
[ 2016-12-17T23:28:51+08:00 ] http://baidu.com/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001676s ]
[ 2016-12-17T23:28:51+08:00 ] http://baidu.com/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001842s ]
