[ 2016-12-11T01:02:27+08:00 ] www.google.com:443 | INFO: Tag[ app_begin ] --START--
[ 2016-12-11T13:41:14+08:00 ] http://14.215.177.37/ | INFO: Tag[ app_begin ] --START--
[ 2016-12-11T13:41:14+08:00 ] http://14.215.177.37/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001665s ]
[ 2016-12-11T13:41:14+08:00 ] http://14.215.177.37/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001796s ]
[ 2016-12-11T18:52:10+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2016-12-11T18:52:10+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001672s ]
[ 2016-12-11T18:52:10+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001841s ]
[ 2016-12-11T21:12:13+08:00 ] http://www.boxun.com | INFO: Tag[ app_begin ] --START--
[ 2016-12-11T21:12:13+08:00 ] http://www.boxun.com | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001678s ]
[ 2016-12-11T21:12:13+08:00 ] http://www.boxun.com | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001851s ]
[ 2016-12-11T21:12:13+08:00 ] https://www.google.com | INFO: Tag[ app_begin ] --START--
[ 2016-12-11T21:12:13+08:00 ] https://www.google.com | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001662s ]
[ 2016-12-11T21:12:13+08:00 ] https://www.google.com | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001839s ]
[ 2016-12-11T21:12:13+08:00 ] https://www.baidu.com | INFO: Tag[ app_begin ] --START--
[ 2016-12-11T21:12:13+08:00 ] https://www.baidu.com | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001674s ]
[ 2016-12-11T21:12:13+08:00 ] https://www.baidu.com | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001843s ]
[ 2016-12-11T21:12:21+08:00 ] http://www.123cha.com | INFO: Tag[ app_begin ] --START--
[ 2016-12-11T21:12:21+08:00 ] http://www.123cha.com | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001660s ]
[ 2016-12-11T21:12:21+08:00 ] http://www.123cha.com | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001823s ]
[ 2016-12-11T22:53:56+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2016-12-11T22:53:56+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001695s ]
[ 2016-12-11T22:53:56+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001864s ]
[ 2016-12-11T23:19:21+08:00 ] /index.php | INFO: Tag[ app_begin ] --START--
[ 2016-12-11T23:19:21+08:00 ] /index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001654s ]
[ 2016-12-11T23:19:21+08:00 ] /index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001781s ]
