[ 2016-11-24T00:40:26+08:00 ] http://m.baidu.com/?rands=_1765871530026683563511552 | INFO: Tag[ app_begin ] --START--
[ 2016-11-24T16:36:54+08:00 ] /qudao/index.php/User | INFO: Tag[ route_check ] --START--
[ 2016-11-24T16:36:54+08:00 ] /qudao/index.php/User | INFO: Run CheckRoute Behavior [ RunTime:0.001731s ]
[ 2016-11-24T16:36:54+08:00 ] /qudao/index.php/User | INFO: Tag[ route_check ] --END-- [ RunTime:0.001856s ]
[ 2016-11-24T16:36:54+08:00 ] /qudao/index.php/User | INFO: Tag[ app_begin ] --START--
[ 2016-11-24T16:36:54+08:00 ] /qudao/index.php/User | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001354s ]
[ 2016-11-24T16:36:54+08:00 ] /qudao/index.php/User | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001458s ]
[ 2016-11-24T16:36:56+08:00 ] /qudao/index.php/User | INFO: Tag[ view_template ] --START--
[ 2016-11-24T16:36:56+08:00 ] /qudao/index.php/User | INFO: Run LocationTemplate Behavior [ RunTime:0.002010s ]
[ 2016-11-24T16:36:56+08:00 ] /qudao/index.php/User | INFO: Tag[ view_template ] --END-- [ RunTime:0.002143s ]
[ 2016-11-24T16:36:56+08:00 ] /qudao/index.php/User | INFO: Tag[ view_parse ] --START--
[ 2016-11-24T16:36:56+08:00 ] /qudao/index.php/User | INFO: Run ParseTemplate Behavior [ RunTime:0.019937s ]
[ 2016-11-24T16:36:56+08:00 ] /qudao/index.php/User | INFO: Tag[ view_parse ] --END-- [ RunTime:0.020050s ]
[ 2016-11-24T16:36:56+08:00 ] /qudao/index.php/User | INFO: Tag[ view_filter ] --START--
[ 2016-11-24T16:36:56+08:00 ] /qudao/index.php/User | INFO: Run ContentReplace Behavior [ RunTime:0.001739s ]
[ 2016-11-24T16:36:56+08:00 ] /qudao/index.php/User | INFO: Run TokenBuild Behavior [ RunTime:0.002081s ]
[ 2016-11-24T16:36:56+08:00 ] /qudao/index.php/User | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001533s ]
[ 2016-11-24T16:36:56+08:00 ] /qudao/index.php/User | INFO: Run ShowRuntime Behavior [ RunTime:0.001973s ]
[ 2016-11-24T16:36:56+08:00 ] /qudao/index.php/User | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007612s ]
[ 2016-11-24T16:36:56+08:00 ] /qudao/index.php/User | INFO: Tag[ view_end ] --START--
[ 2016-11-24T16:36:56+08:00 ] /qudao/index.php/User | INFO: Run ShowPageTrace Behavior [ RunTime:0.001994s ]
[ 2016-11-24T16:36:56+08:00 ] /qudao/index.php/User | INFO: Tag[ view_end ] --END-- [ RunTime:0.002096s ]
[ 2016-11-24T17:54:39+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2016-11-24T17:54:39+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002166s ]
[ 2016-11-24T17:54:39+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002292s ]
[ 2016-11-24T18:28:08+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2016-11-24T18:28:08+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001641s ]
[ 2016-11-24T18:28:08+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001764s ]
[ 2016-11-24T19:29:45+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2016-11-24T19:29:45+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001660s ]
[ 2016-11-24T19:29:45+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001787s ]
[ 2016-11-24T20:44:29+08:00 ] /index.php/Login | INFO: Tag[ route_check ] --START--
[ 2016-11-24T20:44:29+08:00 ] /index.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.002565s ]
[ 2016-11-24T20:44:29+08:00 ] /index.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.002681s ]
[ 2016-11-24T20:44:29+08:00 ] /index.php/Login | INFO: Tag[ app_begin ] --START--
[ 2016-11-24T20:44:29+08:00 ] /index.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001960s ]
[ 2016-11-24T20:44:29+08:00 ] /index.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002056s ]
[ 2016-11-24T20:44:29+08:00 ] /index.php/Login | INFO: Tag[ view_template ] --START--
[ 2016-11-24T20:44:29+08:00 ] /index.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.002441s ]
[ 2016-11-24T20:44:29+08:00 ] /index.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.002545s ]
[ 2016-11-24T20:44:29+08:00 ] /index.php/Login | INFO: Tag[ view_parse ] --START--
[ 2016-11-24T20:44:29+08:00 ] /index.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.017728s ]
[ 2016-11-24T20:44:29+08:00 ] /index.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017829s ]
[ 2016-11-24T20:44:29+08:00 ] /index.php/Login | INFO: Tag[ view_filter ] --START--
[ 2016-11-24T20:44:29+08:00 ] /index.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.001562s ]
