[ 2016-11-26T00:45:09+08:00 ] http://www.123cha.com | INFO: Tag[ app_begin ] --START--
[ 2016-11-26T21:41:12+08:00 ] /qudao/index.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.001717s ]
[ 2016-11-26T21:41:12+08:00 ] /qudao/index.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.001851s ]
[ 2016-11-26T21:41:12+08:00 ] /qudao/index.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001533s ]
[ 2016-11-26T21:41:12+08:00 ] /qudao/index.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.001967s ]
[ 2016-11-26T21:41:12+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007364s ]
[ 2016-11-26T21:41:12+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_end ] --START--
[ 2016-11-26T21:41:12+08:00 ] /qudao/index.php/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.002002s ]
[ 2016-11-26T21:41:12+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.002107s ]
[ 2016-11-26T21:41:12+08:00 ] /qudao/index.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2016-11-26T21:41:12+08:00 ] /qudao/index.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001736s ]
[ 2016-11-26T21:41:12+08:00 ] /qudao/index.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001860s ]
[ 2016-11-26T21:41:12+08:00 ] /qudao/index.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2016-11-26T21:41:12+08:00 ] /qudao/index.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001078s ]
[ 2016-11-26T21:41:12+08:00 ] /qudao/index.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001183s ]
[ 2016-11-26T21:41:13+08:00 ] /qudao/index.php/Login/userCheck | INFO: Tag[ route_check ] --START--
[ 2016-11-26T21:41:13+08:00 ] /qudao/index.php/Login/userCheck | INFO: Run CheckRoute Behavior [ RunTime:0.002308s ]
[ 2016-11-26T21:41:13+08:00 ] /qudao/index.php/Login/userCheck | INFO: Tag[ route_check ] --END-- [ RunTime:0.002431s ]
[ 2016-11-26T21:41:13+08:00 ] /qudao/index.php/Login/userCheck | INFO: Tag[ app_begin ] --START--
[ 2016-11-26T21:41:13+08:00 ] /qudao/index.php/Login/userCheck | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001652s ]
[ 2016-11-26T21:41:13+08:00 ] /qudao/index.php/Login/userCheck | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001756s ]
[ 2016-11-26T21:41:13+08:00 ] /qudao/index.php/Login/userCheck | NOTIC: [8] A session had already been started - ignoring session_start() LoginAction.class.php 第 10 行.
[ 2016-11-26T21:41:15+08:00 ] /qudao/index.php/Login | INFO: Tag[ route_check ] --START--
[ 2016-11-26T21:41:15+08:00 ] /qudao/index.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.001736s ]
[ 2016-11-26T21:41:15+08:00 ] /qudao/index.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001860s ]
[ 2016-11-26T21:41:15+08:00 ] /qudao/index.php/Login | INFO: Tag[ app_begin ] --START--
[ 2016-11-26T21:41:15+08:00 ] /qudao/index.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001081s ]
[ 2016-11-26T21:41:15+08:00 ] /qudao/index.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001187s ]
[ 2016-11-26T21:41:15+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_template ] --START--
[ 2016-11-26T21:41:15+08:00 ] /qudao/index.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.001968s ]
[ 2016-11-26T21:41:15+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.002086s ]
[ 2016-11-26T21:41:15+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_parse ] --START--
[ 2016-11-26T21:41:15+08:00 ] /qudao/index.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.019833s ]
[ 2016-11-26T21:41:15+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019945s ]
[ 2016-11-26T21:41:15+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_filter ] --START--
[ 2016-11-26T21:41:15+08:00 ] /qudao/index.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.001733s ]
[ 2016-11-26T21:41:15+08:00 ] /qudao/index.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.001861s ]
[ 2016-11-26T21:41:15+08:00 ] /qudao/index.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001539s ]
[ 2016-11-26T21:41:15+08:00 ] /qudao/index.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.001971s ]
[ 2016-11-26T21:41:15+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007392s ]
[ 2016-11-26T21:41:15+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_end ] --START--
[ 2016-11-26T21:41:15+08:00 ] /qudao/index.php/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.002003s ]
[ 2016-11-26T21:41:15+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.002105s ]
[ 2016-11-26T21:41:15+08:00 ] /qudao/index.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2016-11-26T21:41:15+08:00 ] /qudao/index.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001724s ]
[ 2016-11-26T21:41:15+08:00 ] /qudao/index.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001846s ]
[ 2016-11-26T21:41:15+08:00 ] /qudao/index.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2016-11-26T21:41:15+08:00 ] /qudao/index.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001068s ]
[ 2016-11-26T21:41:15+08:00 ] /qudao/index.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001170s ]
[ 2016-11-26T21:41:21+08:00 ] /qudao/index.php/Login/userCheck | INFO: Tag[ route_check ] --START--
[ 2016-11-26T21:41:21+08:00 ] /qudao/index.php/Login/userCheck | INFO: Run CheckRoute Behavior [ RunTime:0.002806s ]
[ 2016-11-26T21:41:21+08:00 ] /qudao/index.php/Login/userCheck | INFO: Tag[ route_check ] --END-- [ RunTime:0.002931s ]
[ 2016-11-26T21:41:21+08:00 ] /qudao/index.php/Login/userCheck | INFO: Tag[ app_begin ] --START--
[ 2016-11-26T21:41:21+08:00 ] /qudao/index.php/Login/userCheck | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002165s ]
[ 2016-11-26T21:41:21+08:00 ] /qudao/index.php/Login/userCheck | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002271s ]
[ 2016-11-26T21:41:21+08:00 ] /qudao/index.php/Login/userCheck | NOTIC: [8] A session had already been started - ignoring session_start() LoginAction.class.php 第 10 行.
[ 2016-11-26T21:41:21+08:00 ] /qudao/index.php/User | INFO: Tag[ route_check ] --START--
[ 2016-11-26T21:41:21+08:00 ] /qudao/index.php/User | INFO: Run CheckRoute Behavior [ RunTime:0.002796s ]
[ 2016-11-26T21:41:21+08:00 ] /qudao/index.php/User | INFO: Tag[ route_check ] --END-- [ RunTime:0.002917s ]
[ 2016-11-26T21:41:21+08:00 ] /qudao/index.php/User | INFO: Tag[ app_begin ] --START--
[ 2016-11-26T21:41:21+08:00 ] /qudao/index.php/User | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002160s ]
[ 2016-11-26T21:41:21+08:00 ] /qudao/index.php/User | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002265s ]
[ 2016-11-26T21:41:23+08:00 ] /qudao/index.php/User | INFO: Tag[ view_template ] --START--
[ 2016-11-26T21:41:23+08:00 ] /qudao/index.php/User | INFO: Run LocationTemplate Behavior [ RunTime:0.002718s ]
[ 2016-11-26T21:41:23+08:00 ] /qudao/index.php/User | INFO: Tag[ view_template ] --END-- [ RunTime:0.002839s ]
[ 2016-11-26T21:41:23+08:00 ] /qudao/index.php/User | INFO: Tag[ view_parse ] --START--
[ 2016-11-26T21:41:23+08:00 ] /qudao/index.php/User | INFO: Run ParseTemplate Behavior [ RunTime:0.020693s ]
[ 2016-11-26T21:41:23+08:00 ] /qudao/index.php/User | INFO: Tag[ view_parse ] --END-- [ RunTime:0.020805s ]
[ 2016-11-26T21:41:23+08:00 ] /qudao/index.php/User | INFO: Tag[ view_filter ] --START--
[ 2016-11-26T21:41:23+08:00 ] /qudao/index.php/User | INFO: Run ContentReplace Behavior [ RunTime:0.001727s ]
[ 2016-11-26T21:41:23+08:00 ] /qudao/index.php/User | INFO: Run TokenBuild Behavior [ RunTime:0.001863s ]
[ 2016-11-26T21:41:23+08:00 ] /qudao/index.php/User | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001517s ]
[ 2016-11-26T21:41:23+08:00 ] /qudao/index.php/User | INFO: Run ShowRuntime Behavior [ RunTime:0.001949s ]
[ 2016-11-26T21:41:23+08:00 ] /qudao/index.php/User | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007341s ]
[ 2016-11-26T21:41:23+08:00 ] /qudao/index.php/User | INFO: Tag[ view_end ] --START--
[ 2016-11-26T21:41:23+08:00 ] /qudao/index.php/User | INFO: Run ShowPageTrace Behavior [ RunTime:0.001963s ]
[ 2016-11-26T21:41:23+08:00 ] /qudao/index.php/User | INFO: Tag[ view_end ] --END-- [ RunTime:0.002063s ]
